gate_name,sgd_gene_id,gene_name,chromosome,essential_status,evidence_count,phenotype_summary,selection_rule,source_file,gate_version
strict,S000000100,UTP20,SynII,Essential,1,null | inviable,exact-mapped ORF with phenotype-derived essential_status=Essential,./data\raw\sgd\phenotype_data.tab,revised-segment-model-v1
strict,S000000110,RRN6,SynII,Essential,1,null | inviable,exact-mapped ORF with phenotype-derived essential_status=Essential,./data\raw\sgd\phenotype_data.tab,revised-segment-model-v1
strict,S000000114,POP8,SynII,Essential,2,null | inviable,exact-mapped ORF with phenotype-derived essential_status=Essential,./data\raw\sgd\phenotype_data.tab,revised-segment-model-v1
strict,S000000116,RFT1,SynII,Essential,1,null | inviable,exact-mapped ORF with phenotype-derived essential_status=Essential,./data\raw\sgd\phenotype_data.tab,revised-segment-model-v1
strict,S000000122,LSM2,SynII,Essential,2,null | inviable,exact-mapped ORF with phenotype-derived essential_status=Essential,./data\raw\sgd\phenotype_data.tab,revised-segment-model-v1
strict,S000000126,PET9,SynII,Essential,4,"repressible | mitochondrial morphology: abnormal | doxycycline (10ug/ml) | Tet-regulated essential ORF strain collection; doxycycline represses expression ; null | viable | W303 background contains full-length SAL1 which suppresses the pet9 null mutations; other strain backgrounds contain a truncated sal1-1, rendering the pet9 null mutant inviable ; null | inviable",exact-mapped ORF with phenotype-derived essential_status=Essential,./data\raw\sgd\phenotype_data.tab,revised-segment-model-v1
strict,S000000130,STU1,SynII,Essential,3,"null | inviable | null mutant germinates and undergoes one to two cell divisions, arresting with large buds; a percentage of these contain undivided DNA at the mother-bud neck ; null | inviable ; null | vegetative growth: absent | lethal in strains containing two chromosomes, including both the 2B (2-chromosome Boeke lab strain) and 2Q (2-chromosome Qin lab strain)",exact-mapped ORF with phenotype-derived essential_status=Essential,./data\raw\sgd\phenotype_data.tab,revised-segment-model-v1
strict,S000000131,POL12,SynII,Essential,4,"repressible | chromosome/plasmid maintenance: decreased | doxycycline (10ug/ml) | Tet-regulated essential ORF strain collection (doxycycline represses expression)|; increased chromosome rearrangements and chromosome loss, as measured in an illegitimate mating assay ; null | inviable ; conditional | cell cycle progression in S phase: arrested | elevated temperature (37°C) | dumbbell-shaped, large-budded arrest with a single nucleus at the bud neck; large increase in proportion of cells with a nearly 2C DNA content; reciprocal shift indicates an essential role just prior to the hydroxyurea sensitive step",exact-mapped ORF with phenotype-derived essential_status=Essential,./data\raw\sgd\phenotype_data.tab,revised-segment-model-v1
strict,S000000136,ERD2,SynII,Essential,2,null | inviable,exact-mapped ORF with phenotype-derived essential_status=Essential,./data\raw\sgd\phenotype_data.tab,revised-segment-model-v1
strict,S000000137,PRE7,SynII,Essential,2,null | inviable,exact-mapped ORF with phenotype-derived essential_status=Essential,./data\raw\sgd\phenotype_data.tab,revised-segment-model-v1
strict,S000000146,SEC17,SynII,Essential,3,repressible | mitochondrial morphology: abnormal | doxycycline (10ug/ml) | Tet-regulated essential ORF strain collection; doxycycline represses expression ; null | inviable,exact-mapped ORF with phenotype-derived essential_status=Essential,./data\raw\sgd\phenotype_data.tab,revised-segment-model-v1
